"frame","x","y","time"
0,277,163,0.033333333333333
1,277,163,0.066666666666667
2,278,163,0.1
3,278,163,0.133333333333333
4,279,163,0.166666666666667
5,280,161,0.2
6,281,162,0.233333333333333
7,280,162,0.266666666666667
8,280,163,0.3
9,280,163,0.333333333333333
10,280,162,0.366666666666667
11,280,162,0.4
12,280,161,0.433333333333333
13,281,160,0.466666666666667
14,281,159,0.5
15,281,159,0.533333333333333
16,282,158,0.566666666666667
17,282,157,0.6
18,281,156,0.633333333333333
19,282,156,0.666666666666667
20,282,156,0.7
21,282,155,0.733333333333333
22,282,153,0.766666666666667
23,280,147,0.8
24,275,135,0.833333333333333
25,264,123,0.866666666666667
26,253,114,0.9
27,243,109,0.933333333333333
28,235,107,0.966666666666666
29,229,107,1
30,223,107,1.03333333333333
31,216,108,1.06666666666667
32,208,110,1.1
33,200,113,1.13333333333333
34,194,117,1.16666666666667
35,189,121,1.2
36,184,125,1.23333333333333
37,180,130,1.26666666666667
38,177,135,1.3
39,175,144,1.33333333333333
40,174,153,1.36666666666667
41,173,161,1.4
42,175,174,1.43333333333333
43,178,186,1.46666666666667
44,184,197,1.5
45,189,201,1.53333333333333
46,191,203,1.56666666666667
47,192,203,1.6
48,193,203,1.63333333333333
49,193,201,1.66666666666667
50,194,203,1.7
51,194,202,1.73333333333334
52,199,204,1.76666666666667
53,203,206,1.8
54,208,207,1.83333333333334
55,212,208,1.86666666666667
56,216,208,1.9
57,220,209,1.93333333333334
58,222,209,1.96666666666667
59,228,210,2
60,233,210,2.03333333333334
61,235,208,2.06666666666667
62,238,206,2.1
63,242,204,2.13333333333334
64,249,203,2.16666666666667
65,256,200,2.2
66,263,197,2.23333333333334
67,267,193,2.26666666666667
68,271,187,2.3
69,274,185,2.33333333333333
70,277,180,2.36666666666667
71,278,178,2.4
72,278,176,2.43333333333333
73,278,177,2.46666666666667
74,279,177,2.5
75,279,177,2.53333333333333
76,278,177,2.56666666666667
77,278,176,2.6
78,278,175,2.63333333333333
79,279,171,2.66666666666667
80,281,165,2.7
81,283,159,2.73333333333333
82,284,149,2.76666666666667
83,283,137,2.8
84,281,124,2.83333333333333
85,277,116,2.86666666666667
86,274,110,2.9
87,271,105,2.93333333333333
88,269,100,2.96666666666667
89,268,98,3
90,268,97,3.03333333333333
91,268,96,3.06666666666667
92,267,94,3.1
93,265,92,3.13333333333333
94,264,91,3.16666666666667
95,264,90,3.2
96,265,88,3.23333333333333
97,265,87,3.26666666666666
98,265,86,3.3
99,266,86,3.33333333333333
100,266,86,3.36666666666666
101,266,86,3.4
102,266,86,3.43333333333333
103,266,86,3.46666666666666
104,265,86,3.5
105,265,85,3.53333333333333
106,263,82,3.56666666666666
107,257,79,3.6
108,251,76,3.63333333333333
109,244,73,3.66666666666666
110,234,71,3.7
111,224,70,3.73333333333333
112,215,70,3.76666666666666
113,209,72,3.8
114,203,74,3.83333333333333
115,196,79,3.86666666666666
116,189,83,3.9
117,183,90,3.93333333333333
118,179,96,3.96666666666666
119,176,103,4
120,174,107,4.03333333333333
121,173,109,4.06666666666666
122,172,112,4.1
123,171,122,4.13333333333333
124,172,131,4.16666666666666
125,175,139,4.2
126,178,146,4.23333333333333
127,179,154,4.26666666666666
128,184,160,4.29999999999999
129,190,165,4.33333333333333
130,195,169,4.36666666666666
131,202,173,4.39999999999999
132,207,175,4.43333333333333
133,213,177,4.46666666666666
134,220,179,4.49999999999999
135,226,179,4.53333333333333
136,234,179,4.56666666666666
137,240,179,4.59999999999999
138,244,178,4.63333333333333
139,248,178,4.66666666666666
140,250,177,4.69999999999999
141,256,177,4.73333333333333
142,260,175,4.76666666666666
143,265,172,4.79999999999999
144,272,165,4.83333333333333
145,276,160,4.86666666666666
146,277,160,4.89999999999999
147,277,161,4.93333333333333
148,277,163,4.96666666666666
149,277,164,4.99999999999999
150,276,164,5.03333333333333
151,276,165,5.06666666666666
152,276,165,5.09999999999999
153,276,165,5.13333333333333
154,276,167,5.16666666666666
155,276,168,5.19999999999999
156,276,169,5.23333333333332
157,276,171,5.26666666666666
158,276,173,5.29999999999999
159,276,174,5.33333333333332
160,277,172,5.36666666666666
161,280,163,5.39999999999999
162,281,149,5.43333333333332
163,277,132,5.46666666666666
164,266,116,5.49999999999999
165,252,103,5.53333333333332
166,240,97,5.56666666666666
167,229,95,5.59999999999999
168,218,96,5.63333333333332
169,208,97,5.66666666666666
170,200,100,5.69999999999999
171,194,103,5.73333333333332
172,189,107,5.76666666666666
173,186,109,5.79999999999999
174,183,113,5.83333333333332
175,180,117,5.86666666666666
176,178,121,5.89999999999999
177,175,127,5.93333333333332
178,174,135,5.96666666666666
179,172,141,5.99999999999999
180,172,148,6.03333333333332
181,172,155,6.06666666666666
182,172,161,6.09999999999999
183,176,167,6.13333333333332
184,179,174,6.16666666666665
185,184,181,6.19999999999999
186,189,188,6.23333333333332
187,198,196,6.26666666666665
188,204,199,6.29999999999999
189,204,200,6.33333333333332
190,204,199,6.36666666666665
191,205,200,6.39999999999999
192,204,199,6.43333333333332
193,204,200,6.46666666666665
194,204,201,6.49999999999999
195,204,200,6.53333333333332
196,204,200,6.56666666666665
197,204,200,6.59999999999999
198,204,200,6.63333333333332
199,204,201,6.66666666666665
200,203,202,6.69999999999999
201,203,202,6.73333333333332
202,203,202,6.76666666666665
203,204,202,6.79999999999999
204,204,202,6.83333333333332
205,206,204,6.86666666666665
206,216,208,6.89999999999999
207,231,209,6.93333333333332
208,244,206,6.96666666666665
209,258,199,6.99999999999999
210,267,192,7.03333333333332
211,270,189,7.06666666666665
212,272,184,7.09999999999998
213,276,178,7.13333333333332
214,278,172,7.16666666666665
215,281,161,7.19999999999998
216,279,151,7.23333333333332
217,275,137,7.26666666666665
218,269,127,7.29999999999998
219,258,116,7.33333333333332
220,249,111,7.36666666666665
221,241,107,7.39999999999998
222,233,105,7.43333333333332
223,225,105,7.46666666666665
224,217,105,7.49999999999998
225,209,107,7.53333333333332
226,202,110,7.56666666666665
227,197,113,7.59999999999998
228,191,117,7.63333333333332
229,185,123,7.66666666666665
230,180,129,7.69999999999998
231,175,136,7.73333333333332
232,171,150,7.76666666666665
233,170,161,7.79999999999998
234,170,163,7.83333333333332
235,170,163,7.86666666666665
236,170,164,7.89999999999998
237,169,164,7.93333333333332
238,169,164,7.96666666666665
239,170,164,7.99999999999998
240,170,164,8.03333333333332
241,170,164,8.06666666666665
242,170,165,8.09999999999998
243,170,165,8.13333333333332
244,170,165,8.16666666666665
245,170,166,8.19999999999998
246,170,165,8.23333333333332
247,170,165,8.26666666666665
248,170,165,8.29999999999998
249,170,166,8.33333333333331
250,170,167,8.36666666666665
251,171,167,8.39999999999998
252,171,170,8.43333333333331
253,171,175,8.46666666666665
254,172,182,8.49999999999998
255,176,191,8.53333333333331
256,182,200,8.56666666666665
257,190,206,8.59999999999998
258,193,208,8.63333333333331
259,194,209,8.66666666666665
260,196,210,8.69999999999998
261,199,212,8.73333333333331
262,204,213,8.76666666666665
263,209,215,8.79999999999998
264,216,217,8.83333333333331
265,223,218,8.86666666666665
266,230,218,8.89999999999998
267,234,218,8.93333333333331
268,240,216,8.96666666666665
269,247,214,8.99999999999998
270,254,211,9.03333333333331
271,259,207,9.06666666666665
272,264,202,9.09999999999998
273,269,196,9.13333333333331
274,274,187,9.16666666666665
275,277,177,9.19999999999998
276,278,167,9.23333333333331
277,278,159,9.26666666666664
278,276,151,9.29999999999998
279,274,147,9.33333333333331
280,272,141,9.36666666666664
281,270,135,9.39999999999998
282,266,131,9.43333333333331
283,260,127,9.46666666666664
284,257,124,9.49999999999998
285,254,121,9.53333333333331
286,250,119,9.56666666666664
287,246,116,9.59999999999998
288,242,115,9.63333333333331
289,237,113,9.66666666666664
290,229,113,9.69999999999998
291,222,112,9.73333333333331
292,215,111,9.76666666666664
293,208,113,9.79999999999998
294,203,116,9.83333333333331
295,197,118,9.86666666666664
296,191,122,9.89999999999998
297,188,123,9.93333333333331
298,188,123,9.96666666666664
299,189,123,9.99999999999998
300,189,123,10.0333333333333
301,189,122,10.0666666666666
302,188,122,10.1
303,188,123,10.1333333333333
304,189,122,10.1666666666666
305,188,123,10.2
306,189,123,10.2333333333333
307,188,123,10.2666666666666
308,188,123,10.3
309,188,123,10.3333333333333
310,187,123,10.3666666666666
311,186,123,10.4
312,187,126,10.4333333333333
313,183,134,10.4666666666666
314,177,143,10.5
